"","X","SITE","YEAR","TEMP","pH","SAL","DO","Secchi","NO3","NH4","SRP","Si"
"1",520102,2,1,14.72,8.15,19.7,11.72,0.8,300,250,7,1100
"2",520103,3,1,15.19,8.23,19.2,13.03,0.8,200,10,4,1000
"3",1020103,3,1,14.63,7.5,29.2,8.75,4,800,27,52,4900
"4",1120103,3,1,10.12,6.96,33.7,10.52,2.5,400,13,45,4400
"5",520105,5,1,16.38,8.48,18.1,16.57,0.9,200,10,3,1300
"6",1020105,5,1,13.91,7.76,30.2,9.91,2.9,1200,208,59,3200
"7",820106,6,1,25.65,8.04,25.6,9.52,1,700,21.7,39,2600
"8",520111,1,2,15.9,6.48,16.7,8.48,0.75,600,68,30,650
"9",420113,3,2,13.65,7.56,21.4,9.84,2,600,64,26,1700
"10",720113,3,2,26.62,7.8,22.7,20.2,0.5,200,339,32,700
"11",920115,5,2,18.83,7.33,18.9,9.29,1.25,800,20,68,7500
"12",1120115,5,2,10.23,7.18,25.6,10.87,2,200,0,57,6700
"13",520116,6,2,15.14,8.06,25.7,12.72,1,500,45,29,1100
"14",720116,6,2,25.24,7.82,25,14.5,1,300,66,20,1800
"15",1020121,1,3,16.03,6.45,28.3,9.04,1.25,1100,78,62,7500
"16",620122,2,3,22.52,7.26,22.3,8.26,2,600,25,43,3800
"17",1020122,2,3,16.09,7.48,29.4,9.05,1.5,1100,38,62,8300
"18",520124,4,3,15.6,6.56,29.6,9.83,1.75,2100,40,68,2400
"19",620124,4,3,22.32,7.03,21.9,7.8,2.1,400,67,91,5000
"20",920124,4,3,21.3,6.13,29.5,NA,1,3200,236,78,2300
"21",620125,5,3,22.18,7.32,23.4,8.26,1.9,400,16,45,600
"22",420126,6,3,13.83,6.15,22,11.63,2,400,96,54,2100
"23",1020126,6,3,15.55,5.9,29.6,9.57,3,400,38,49,6500
"24",720131,1,4,25.08,7.31,18.4,7.32,1.25,400,54,115,4100
"25",720132,2,4,23.88,7.22,21.3,5.94,1,1500,104,95,33100
"26",920132,2,4,20.22,6.7,27.8,7.8,1,1700,132,116,1900
"27",720133,3,4,24.38,7.63,21.7,6.46,1.25,700,70,62,7800
"28",420134,4,4,15.76,7.2,28.8,9.83,2,1200,170,28,3500
"29",620134,4,4,23.53,8.14,20.9,15.63,1.5,1500,16,45,2000
"30",720134,4,4,25.84,7.77,21.2,14.35,1.25,4200,14,31,1900
"31",820134,4,4,23.79,7.48,24.9,12.01,1.1,1100,24,42,5000
"32",520135,5,4,12.65,6.38,28,11.42,1,1100,356,59,1200
"33",620135,5,4,21.53,6.86,22.4,11.44,1,1000,32,28,2400
"34",920135,5,4,19.91,6.63,29.7,9.2,1,700,148,26,5400
"35",420136,6,4,14.62,7.2,31.5,9.08,1.5,100,207,24,5000
"36",820136,6,4,23.51,7.22,25.8,9.89,1,1300,26,49,2700
"37",720142,2,5,25.12,5.62,18.9,8.27,1.1,130,26,40,8700
"38",1020142,2,5,18.25,NA,26.8,6.86,3,700,219,54,2600
"39",1020143,3,5,18.3,NA,28.6,7.46,3,200,187,75,900
"40",920144,4,5,24.85,5.87,25.3,7.45,2,700,50,54,6200
"41",720145,5,5,23.2,7.31,25.8,8.08,1.5,240,242,50,2400
"42",920145,5,5,24.76,6.68,24.8,6.47,2,500,14,83,300
"43",1120146,6,5,11.62,8.09,33.8,9.78,5.25,800,166,54,300
"44",920151,1,6,24.08,7.29,26.3,5.67,3,1000,264,66,2100
"45",1020151,1,6,14.39,7.35,25.5,8.42,3,900,37,41,3000
"46",1120152,2,6,15.24,6.98,24.4,6.05,3.75,800,178,48,2800
"47",420155,5,6,11.29,7.05,29.6,12.98,NA,200,166,12,3000
"48",520155,5,6,14.6,8.01,30.6,12.65,2,800,40,19,1200
"49",620155,5,6,22.33,6.54,26,8.33,1,600,103,5,5700
"50",620156,6,6,20.82,6.94,28,10.77,1.25,900,179,1,3100
"51",920156,6,6,23.72,6.02,28,12.84,1,800,108,42,2900
"52",520161,1,7,15.3,7.61,22.8,8.45,2,1100,158,18,100
"53",620161,1,7,20.05,6.37,24.7,9.71,2.5,1100,48,26,3700
"54",820161,1,7,25.53,7.33,14.9,4.94,0.75,1800,94,86,6800
"55",720162,2,7,24.49,NA,24.2,5.54,4,1700,128,76,700
"56",1020162,2,7,17.07,7.72,25.3765418,9.19,3.5,1200,330,67,500
"57",1120162,2,7,13.08,7.7,25.83227586,9.7,5.25,1000,462,64,6200
